Curve,x,y,Model
ROC,0.008634473936680525,0.19230769230769232,Logistic regression
ROC,0.008634473936680525,0.1958041958041958,Logistic regression
ROC,0.008954269267668692,0.1958041958041958,Logistic regression
ROC,0.008954269267668692,0.19755244755244755,Logistic regression
ROC,0.00927406459865686,0.19755244755244755,Logistic regression
ROC,0.00927406459865686,0.1993006993006993,Logistic regression
ROC,0.009593859929645027,0.1993006993006993,Logistic regression
ROC,0.009593859929645027,0.22377622377622378,Logistic regression
ROC,0.009913655260633194,0.22377622377622378,Logistic regression
ROC,0.009913655260633194,0.23426573426573427,Logistic regression
ROC,0.01055324592260953,0.23426573426573427,Logistic regression
ROC,0.01055324592260953,0.24125874125874125,Logistic regression
ROC,0.010873041253597697,0.24125874125874125,Logistic regression
ROC,0.010873041253597697,0.24825174825174826,Logistic regression
ROC,0.011192836584585865,0.24825174825174826,Logistic regression
ROC,0.011192836584585865,0.2534965034965035,Logistic regression
ROC,0.011512631915574032,0.2534965034965035,Logistic regression
ROC,0.011512631915574032,0.25874125874125875,Logistic regression
ROC,0.012152222577550368,0.25874125874125875,Logistic regression
ROC,0.012152222577550368,0.26573426573426573,Logistic regression
ROC,0.012472017908538535,0.26573426573426573,Logistic regression
ROC,0.012472017908538535,0.270979020979021,Logistic regression
ROC,0.01311160857051487,0.270979020979021,Logistic regression
ROC,0.01311160857051487,0.27797202797202797,Logistic regression
ROC,0.013431403901503039,0.27797202797202797,Logistic regression
ROC,0.013431403901503039,0.2867132867132867,Logistic regression
ROC,0.013751199232491206,0.2867132867132867,Logistic regression
ROC,0.013751199232491206,0.2902097902097902,Logistic regression
ROC,0.014070994563479372,0.2902097902097902,Logistic regression
ROC,0.014070994563479372,0.29895104895104896,Logistic regression
ROC,0.014390789894467541,0.29895104895104896,Logistic regression
ROC,0.014390789894467541,0.30244755244755245,Logistic regression
ROC,0.014710585225455708,0.30244755244755245,Logistic regression
ROC,0.014710585225455708,0.30594405594405594,Logistic regression
ROC,0.01566997121842021,0.30594405594405594,Logistic regression
ROC,0.01566997121842021,0.32167832167832167,Logistic regression
ROC,0.01694915254237288,0.32167832167832167,Logistic regression
ROC,0.01694915254237288,0.32867132867132864,Logistic regression
ROC,0.017588743204349215,0.32867132867132864,Logistic regression
ROC,0.017588743204349215,0.3304195804195804,Logistic regression
ROC,0.017908538535337384,0.3304195804195804,Logistic regression
ROC,0.017908538535337384,0.3321678321678322,Logistic regression
ROC,0.018228333866325552,0.3321678321678322,Logistic regression
ROC,0.018228333866325552,0.3409090909090909,Logistic regression
ROC,0.01854812919731372,0.3409090909090909,Logistic regression
ROC,0.01854812919731372,0.34440559440559443,Logistic regression
ROC,0.018867924528301886,0.34440559440559443,Logistic regression
ROC,0.018867924528301886,0.3479020979020979,Logistic regression
ROC,0.019507515190278223,0.3479020979020979,Logistic regression
ROC,0.019507515190278223,0.3513986013986014,Logistic regression
ROC,0.01982731052126639,0.3513986013986014,Logistic regression
ROC,0.01982731052126639,0.3583916083916084,Logistic regression
ROC,0.020466901183242726,0.3583916083916084,Logistic regression
ROC,0.020466901183242726,0.36013986013986016,Logistic regression
ROC,0.02078669651423089,0.36013986013986016,Logistic regression
ROC,0.02078669651423089,0.3618881118881119,Logistic regression
ROC,0.02110649184521906,0.3618881118881119,Logistic regression
ROC,0.02110649184521906,0.36713286713286714,Logistic regression
ROC,0.021426287176207228,0.36713286713286714,Logistic regression
ROC,0.021426287176207228,0.3688811188811189,Logistic regression
